country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Afghanistan,AFG,EMR,Household visit,c_hh_visit,1.52,0.38
Albania,ALB,EUR,Household visit,c_hh_visit,2.43,0.61
Algeria,DZA,AFR,Household visit,c_hh_visit,2.14,0.53
American Samoa,ASM,WPR,Household visit,c_hh_visit,2.14,0.53
Andorra,AND,EUR,Household visit,c_hh_visit,2.14,0.53
Angola,AGO,AFR,Household visit,c_hh_visit,2.59,0.65
Anguilla,AIA,AMR,Household visit,c_hh_visit,6.46,1.62
Antigua and Barbuda,ATG,AMR,Household visit,c_hh_visit,4.83,1.21
Argentina,ARG,AMR,Household visit,c_hh_visit,2.78,0.69
Armenia,ARM,EUR,Household visit,c_hh_visit,2.09,0.52
Aruba,ABW,AMR,Household visit,c_hh_visit,4.87,1.22
Australia,AUS,WPR,Household visit,c_hh_visit,6.81,1.7
Austria,AUT,EUR,Household visit,c_hh_visit,5.52,1.38
Azerbaijan,AZE,EUR,Household visit,c_hh_visit,2.06,0.51
Bahamas,BHS,AMR,Household visit,c_hh_visit,5.81,1.45
Bahrain,BHR,EMR,Household visit,c_hh_visit,3.23,0.81
Bangladesh,BGD,SEA,Household visit,c_hh_visit,2.42,0.6
Barbados,BRB,AMR,Household visit,c_hh_visit,7.18,1.79
Belarus,BLR,EUR,Household visit,c_hh_visit,2.15,0.54
Belgium,BEL,EUR,Household visit,c_hh_visit,5.48,1.37
Belize,BLZ,AMR,Household visit,c_hh_visit,4.25,1.06
Benin,BEN,AFR,Household visit,c_hh_visit,2.29,0.57
Bermuda,BMU,AMR,Household visit,c_hh_visit,8.86,2.21
Bhutan,BTN,SEA,Household visit,c_hh_visit,1.73,0.43
Bolivia (Plurinational State of),BOL,AMR,Household visit,c_hh_visit,2.52,0.63
Bosnia and Herzegovina,BIH,EUR,Household visit,c_hh_visit,2.5,0.62
Botswana,BWA,AFR,Household visit,c_hh_visit,2.77,0.69
Brazil,BRA,AMR,Household visit,c_hh_visit,3.68,0.92
British Virgin Islands,VGB,AMR,Household visit,c_hh_visit,3.68,0.92
Brunei Darussalam,BRN,WPR,Household visit,c_hh_visit,3.1,0.77
Bulgaria,BGR,EUR,Household visit,c_hh_visit,2.58,0.65
Burkina Faso,BFA,AFR,Household visit,c_hh_visit,2.23,0.56
Burundi,BDI,AFR,Household visit,c_hh_visit,2.15,0.54
Cabo Verde,CPV,AFR,Household visit,c_hh_visit,3.11,0.78
Cambodia,KHM,WPR,Household visit,c_hh_visit,2.32,0.58
Cameroon,CMR,AFR,Household visit,c_hh_visit,2.56,0.64
Canada,CAN,AMR,Household visit,c_hh_visit,5.91,1.48
Cayman Islands,CYM,AMR,Household visit,c_hh_visit,7.58,1.89
Central African Republic,CAF,AFR,Household visit,c_hh_visit,3.06,0.77
Chad,TCD,AFR,Household visit,c_hh_visit,2.78,0.69
Chile,CHL,AMR,Household visit,c_hh_visit,3.67,0.92
China,CHN,WPR,Household visit,c_hh_visit,3.93,0.98
"China, Hong Kong SAR",HKG,WPR,Household visit,c_hh_visit,5.04,1.26
"China, Macao SAR",MAC,WPR,Household visit,c_hh_visit,4.2,1.05
Colombia,COL,AMR,Household visit,c_hh_visit,2.66,0.66
Comoros,COM,AFR,Household visit,c_hh_visit,2.77,0.69
Congo,COG,AFR,Household visit,c_hh_visit,3.84,0.96
Cook Islands,COK,WPR,Household visit,c_hh_visit,6.46,1.62
Costa Rica,CRI,AMR,Household visit,c_hh_visit,3.76,0.94
Côte d'Ivoire,CIV,AFR,Household visit,c_hh_visit,2.7,0.68
Croatia,HRV,EUR,Household visit,c_hh_visit,3.19,0.8
Cuba,CUB,AMR,Household visit,c_hh_visit,3.19,0.8
Curaçao,CUW,AMR,Household visit,c_hh_visit,4.98,1.24
